07-3024;Laspartners;19317;Bandzaag Lenox RX+ 3025x27x0,9 - 4/6 tpi;40.49;;;;;;;;;;;
07-3025;Laspartners;11221;Speedglas 9002X lasfilter kleur 9-13;296.05;;;;;;;;;;;
07-3026;Laspartners;11305;Speedglas zweetband badstof ;11.78;;;;;;;;;;;
07-3027;Laspartners;11157;Spatglas buiten 9002;1.55;;;;;;;;;;;
07-3028;Laspartners;11242;Spatglas buiten 9002X;1.90;;;;;;;;;;;
07-4001;PAC;71985UK;Snijmachine Ball caster;16.80;;;;;;;;;;;
07-4002;PAC;120574;Snijmachine Electrode Extended;7.09;;;;;;;;;;;
07-4003;PAC;120305;Snijmachine MouthPiece pipe saddle;4.20;;;;;;;;;;;
07-4004;PAC;20361;Snijmachine Ring swirl ring ;13.72;;;;;;;;;;;
07-4005;Verhoeven;84125030;"Draadsnijset 2"" ";82.96;;;;;;;;;;;
07-4006;Verhoeven;84121050;"Draadsnijset 1/2""";62.83;;;;;;;;;;;
07-4007;Verhoeven;84121100;"Draadsnijset 1""";79.38;;;;;;;;;;;
07-5001;Kieboom;;Hamer lasbikhamer 450 gram;5.96;;;;;;;;;;;
07-5002;Kieboom;;Pijpensnijder 4-32 mm quick auto;49.08;;;;;;;;;;;
07-5003;SAB;;Handschoenen 10419;2.85;;;;;;;;;;;
07-5004;Verhoeven;E1312531;Satineermachine flex LP1503 VR;395.00;;;;;;;;;;;
07-5005;Verhoeven;E1312532;Slijpmachine flex LE14-7125;210.00;;;;;;;;;;;
07-5006;Kieboom;;Wig staal 100x20x10 mm;5.60;;;;;;;;;;;
07-5007;Kieboom;;Lijmtang Samsteel LT 250x120 mm;17.20;;;;;;;;;;;
07-5008;Kieboom;;Afstandsmeter DLE 40 Bosch;90.79;;;;;;;;;;;
07-5009;Verhoeven;1314142;Tapkopsleutel 1.607.950.002 Bosch;8.30;;;;;;;;;;;
07-5010;Kieboom;;"Manometer 0-10 bar G1/4"" onder";30.55;;;;;;;;;;;
07-5011;Kieboom;;Amperetang digi 645;36.00;;;;;;;;;;;
07-6001;SAB;;Jerrycan 30 ltr.;12.50;;;;;;;;;;;
07-6002;SAB;;Klok drukkklok;108.00;;;;;;;;;;;
07-6003;SAB;;Poetslappen;9.14;;;;;;;;;;;
07-6004;SAB;;Microvezeldoek;1.50;;;;;;;;;;;
07-6005;SAB;;Schuurpapier waterproof 400;20.25;;;;;;;;;;;
07-6006;SAB;;Tape ducktape;6.62;;;;;;;;;;;
07-6007;Air Liquide;S9054;Gas administratiekosten per levering;7.50;;;;;;;;;;;
07-6008;Air Liquide;I2530M20;Gas ARCAL 12 cilinder M20;42.15;;;;;;;;;;;
07-6009;Air Liquide;I2015M20;Gas ARGON N46 M20 cilinder;26.47;;;;;;;;;;;
07-6010;Air Liquide;I3165M20;Gas ATAL 20 cilinder M20;33.86;;;;;;;;;;;
07-6011;Air Liquide;RR0L001;Gas huur cilinder per dag;0.35;;;;;;;;;;;
07-6012;Air Liquide;S0581;Gas toeslag milieu en veiligheid per cilinder;15.75;;;;;;;;;;;
07-6013;Kieboom;;Vaselinespray 400 ml;5.54;;;;;;;;;;;
